col0,col1,col2
9C J1539+4217,18.22,
2MASS J08120905+5717384,17.96,0.1386
6C 000852+702833,20.3799,
7C 070112.19+450709.00,18.407,
87GB 170008.3+264707,18.945,
QSO B0829+047,16.4,0.174
QSO B0111+021,16,0.047
4C 36.01,18,0.366
2A 1058-226,16.55,0.186
2MASS J08535219+0204114,20.9,0.35848
4C 48.41,19.7,
2MASS J12264425+0638533,17.22,
2FGL J0334.3-3728,16.56,
ICRF J224412.7+405713,19.7,1.171
IK Aquarii,15.039,
2MASS J01340171-5618454,13.746,
[ATZ98] A012,19.19,
WISE J173507.92-621521.5,18.9757,
3FGL J1027.7+6316,18.76,
SWIFT J1153.9+5848,19.47,0.20237
MASTER OT J223634.06-143322.3,18.66,0.609
