col0,col1,col2
Beersheba bus bombings,19,100
USS Cole bombing,,39
Mardan suicide bombing,26,
2008 Khost suicide bombing,4,
Khost suicide bombing,33,10
2018 Sweida attacks,215,180
28 August 2011 Baghdad bombing,32,39
2017 Aleppo suicide car bombing,126,55
Maidan Shar attack,129,70
2023 Ankara bombing,2,2
December 2015 Chad suicide bombings,,130
11 May 2016 Baghdad bombings,110,103
Brussels Airport Terrorist Attack 2016,35,81
October 2017 Mogadishu bombings,588,400
Dikwa suicide bombings,56,
2010 Chabahar suicide bombing,33,95
2016 Istanbul airport attack,41,239
