col0,col1,col2
boulevard Diderot,31.8,1915
boulevard Flandrin,12,820
boulevard de la Chapelle,42,1095
boulevard de Clichy,42,935
boulevard Carnot,26,570
boulevard Kellermann,40,1200
Bulevar de la Avenida Colombia,,780
Daneshgah Jang Boulevard,,0.83
boulevard des Capucines,35.4,440
"Pushkina Boulevard, Kremenchuk",,750
boulevard de Dixmude,26,210
Boulevard Royal,,770
New Taipei Boulevard,,10.3
boulevard Montmartre,35,215
Boulevard Knyaz Boris I,,5400
boulevard Jourdan,40,1430
boulevard Lannes,33.5,960
Siraya Boulevard,,4.6
Junipero Serra Boulevard,,7.1
Boulevard East,,4.7
Tabatabai Nasab Boulevard,,2.04
