col0,col1,col2
Marioos,16398.36,23358.861
Suogai Mas,6832.896,8385.376999999999
Sungal Mas,25318.521,28731.62
Gnoa,66093.124,
Tian Rng,6162.431999999999,7211.04
itan,149721.474,
Liverporl Express,45870.973,
Mand,12878.308,17405.25
Marin,20445.586,25827.535999999996
Endur.,25687.287,33702.648
Ever Sine,74719.278,
Hora.,1633.744,2332.192
Asia,4786.945,6804.695999999999
Ba Bridge,44012.83,51909.528
Mcrvel,5446.224,6851.79
Tsig Chau,1889.412,1766.526
Anna .,3988.008,
ucon,74451.53799999999,
Swan ake,4614.471,7327.357999999999
