col0,col1,col2,col3
Ribeira,27030,69,0
Ames,32482,80.55,63
Porqueira,841,43.4,635
Samos,1210,136.6,700
Bande,1482,98.96,728
Triacastela,622,51.18,665
Culleredo,30864,63,570
Leiro,1481,38.3,90
Amoeiro,2391,39.68,396
A Pobra de Trives,1977,84.2,746
Trasmiras,1228,56.74,654
Portas,2823,22.73,758
Pontevedra,82535,118,20
Paradela,1638,121.12,345
Burela,9454,8.2,25
Rianxo,10854,58.8,4
Beariz,946,56.2,610
Baiona,12407,35.35,622
Rodeiro,2260,154.2,
Vilar de Santos,792,20.7,632
Vigo,293652,109.06,28
Baralla,2484,141,500
Cangas,26807,38.1,9
Oia,3104,48,3
Valga,5704,40.72,
