col0,col1,col2,col3
Sariakandi Upazila,,408.5,16
Mujibnagar Upazila,,112.68,14
Satkania Upazila,384806,282.4,
Raomari Upazila,,197.8,24
Betagi Upazila,117145,41452,10
Rajarhat Upazila,,166.23,30
Sarail Upazila,34950,215.28,7
Jhikargacha Upazila,,307.96,9
Terokhada Upazila,,189.48,4
Chaugachha Upazila,,269.31,12
Kamalnagar Upazila,,315,6
"Pirganj Upazila, Thakurgaon District",,353.3,43
Maulvibazar Sadar Upazila,342468,85085,15
Chirirbandar Upazila,,308.68,36
Fakirhat Upazila,,160.68,12
Nazirpur Upazila,180408,56511,4
Palash Upazila,,94.43,13
Gabtali Upazila,265926,239.6,18
Dacope Upazila,,991.58,1
Dhamrai Upazila,56777,307.4,15
Kuliarchar Upazila,,104.01,9
Laksam Upazila,,135.61,9
