col0,col1
Sweden at the Summer Olympics,
Luxembourg at the 2000 Summer Olympics,
Saint Kitts and Nevis at the 2016 Summer Olympics,7
Portugal at the 1988 Summer Olympics,
Albania at the 2006 Winter Olympics,
Benin at the 2004 Summer Olympics,
Aruba at the Summer Olympics,
Puerto Rico at the Olympics,
Pakistan at the 2014 Winter Olympics,
Mauritius at the 1992 Summer Olympics,
Greece at the 1968 Winter Olympics,
Gambia at the 2004 Summer Olympics,
Hungary at the 1960 Summer Olympics,
Ukraine at the 2010 Winter Olympics,
Ukraine at the 2012 Summer Olympics,
Venezuela at the 1956 Summer Olympics,
