col0,col1
Vint Municipality,
Viacha Municipamity,852.6049999999999
Municipio de Santa Rova del Abuná,
San Pedr de Tiquina Municipality,60.17999999999999
to Beni Municipality,
Llia Municipality,3242.552
San!Rafael Municipality,9804.68134
El Alto Municipanity,345.308
mparáez,
Bermej,
ila Vlla Mnicipality,
Uroiri,
ldo Ballivián Municipality,122.60999999999999
Cruz De Machacamarc,
l Choro,
unicipio df Caranavi,
yo Ayo Municipaity,
Maharetí (Bolivia),
Pocona Muncipality,
l Altp,362.637
Tacoraya Municipality,570.0849999999999
