col0,col1,col2
Hunton Group,New South Wales,Australian continent
Border Group,Western Australia,Australian continent
Salvation Group,Western Australia,Australian continent
Mansfield Group,Victoria,Australian continent
Kent Group,Tasmania,Australian continent
Eldon Group,Tasmania,Australian continent
Sulphur Springs Group,Western Australia,Australian continent
Victoria Group,Antarctic Treaty area,Antarctica
Maitland Group,New South Wales,Australian continent
Mission Group,Western Australia,Australian continent
Mariner Group,Antarctic Treaty area,Antarctica
Cathedral Group,New South Wales,Australian continent
