col0,col1
Département Composants Silicium,CEA-Leti
TRW Defense and Space Systems Group,TRW Inc.
Fred. Olsen Renewables,Fred. Olsen & Co.
Hexagon Geospatial,Hexagon AB
Classification and Rating Administration,Motion Picture Association
Toll Operations Division of the Texas Department of Transportation,Texas Department of Transportation
University of Maryland University Relations,University of Maryland
West Japan Railway Company Chugoku Regional Head Office,West Japan Railway Company
San José State University Division of Research and Innovation,San José State University
Amersham Biosciences,Amersham plc
Department of History and Archaeology at AUB,American University of Beirut
American Bar Association Young Lawyers Division,American Bar Association
American Bar Association Criminal Justice Section,American Bar Association
Junior Chamber International Târgu-Mureș,Junior Chamber International
George Arents Collection,New York Public Library
"Irma and Paul Milstein Division of United States History, Local History and Genealogy",New York Public Library
