col0,col1,col2
Davis Creek Township,35.97,653
Custer Township,53.75,755
Cuming Township,35.51,418
Cuming Township,36.02,403
Creston Township,35.85,506
Creighton Township,34.87,494
Craig Township,56.39,397
Council Creek Township,35.36,523
Cottonwood Township,37.52,677
Cottonwood Township,46.56,594
Cotterell Township,53.56,384
Cosmo Township,36.19,657
Corner Township,35.64,766
Conley Township,72.31,665
Concord Township,35.86,451
Comstock Township,31.08,696
Columbus Township,59.01,439
Columbia Township,35.99,530
Collins Township,24.99,665
