col0,col1,col2,col3
Crs 2,Brian Fee,Denise Ream,
Mee the Robinsons,,John Lasseter,John Lasseter
Te Princess and the Frog,Chris Montan,Peter Del Vecho,Monica Lago-Kaytis
An Amerjcan Tail: Fievel Goes West,,Robert Watts,Frank Marshall
The Breadwiner,Lorraine Lordan,Andrew Rosen,
hisper of the Hear,,Toshio Suzuki,Yasuyoshi Tokuma
Th Aristocats,Walter Sheets,Wolfgang Reitherman,
Hotel Tranvylvania.,,Adam Sandler,Adam Sandler
Alddin,Hans Bacher,Ron Clements,Alice Dewey
The SevenRavens,Hermann Diehl,Hermann Diehl,
Scorb!,,Pam Coats,Richard Suckle
Oliver & ompany,Alex Mann,Kathleen Gavin,
Song of the ea,Fabian Erlinghäuser,Paul Young,
Petgr Pan,Hugh Hennesy,Walt Disney,
The Mungle Book,Al Dempster,Walt Disney,Don Duckwall
Whitf Fang,François Cao,Christel Henon,
Adamd,Pierre Ducos,Lucien Chemla,
All Dogs Go o Heaven,,John Pomeroy,Morris Sullivan
Hrcules,Carl Jones,John Musker,Peter Del Vecho
Coco,,Darla K. Anderson,John Lasseter
