col0,col1
1913 Republic of China presidential election,Taiwan
1997 Nagorno-Karabakh presidential election,Republic of Artsakh
Next Rwandan presidential election,Rwanda
2018 Montenegrin presidential election,Montenegro
2014–15 Croatian presidential election,Croatia
1993 Togolese presidential election,Togo
1993 Togolese presidential election,Togo
1996 Equatorial Guinean presidential election,Equatorial Guinea
2005 Egyptian presidential election,Egypt
2020 Ivorian presidential election,Ivory Coast
2011 São Toméan presidential election,São Tomé and Príncipe
1853 Costa Rican general election,Costa Rica
2023 Malagasy presidential election,Madagascar
2000 Paraguayan vice presidential election,Paraguay
next Palestinian presidential election,State of Palestine
