col0,col1
* V627 Per,-2.2311
V* V125 Cen,10.805760000000001
V* MS Erk,23.23972
KV Peg,-77.4888
Cl* NGC 7789 EB 29.,
CRTS J021808.0+37053,
CRTS 160620.7-062319,
CRTS J002205.3.315334,
V* V4091 Sgt,-20.32671
V* Y900 Per,24.709570641999996
LV Hydrae.,29.804371800000002
V* V383 Sr,-95.0225
OGLE BL654.14 66787,
SSBoötis,-49.059360000000005
CRTS J231858.4+393828.,
OGLE BLG504.2 106420,
CRTS J2246498+273925,
HZAquarii,-110.06172201799998
CTTS J013342.5+261820,
CRTS J012826.6+37442,
* V5741 Ugr,
13 Cet,10.6144
CRTS J025725.5+33221,
