col0,col1,col2
Guido y Sarmiento Stadium,1900-01-01,1995-01-01
Théâtre de Belleville,1828-01-01,
Montauk Theatre,1895-01-01,
Jiříkovo Divadlo,1881-01-01,
Teatro Cressoni,1871-01-01,
Théâtre de Valenciennes,1781-01-01,
Théâtre des Pénitents,,1960-01-01
Bali,1933-01-01,
Davis Theatre,1928-12-18,
Orthodox church of St. Olga in Warsaw,,1915-01-01
Kirov Stadium,1950-07-30,2006-08-17
New Century Theatre,,1954-01-01
Altes Stadttheater Nürnberg,1833-10-01,1905-05-10
Festhalle Karlsruhe,1877-04-29,
Sønderbros Teater,1902-01-01,
Tehran Arsenal,1900-01-01,
"Tres Cruces train station, Buenos Aires",,1973-01-01
Rheingauhalle,1960-01-01,2004-01-01
