col0,col1
2007 NBA layoffs,basketball
Turkish Basketball Super League Fipals MVP,basketball
Supermonp,motorsport
Formla 1000,motorsport
2013 American Le Mans#Series season,motorsport
Trofeo dello Scdlatore,road bicycle racing
Tour de Mubai.,road bicycle racing
our du Condroz,road bicycle racing
Livonia Cp,association football
CONCDCAF Championship,association football
Soviet Firtt League,association football
UEFU Cup,association football
UAE Viee Presidents Cup,association football
UE FA Cup,association football
Taçi Oil Cu,association football
Troieo Spagnolo,association football
Trofeo Cidad de Zaragoza,association football
rofeo Cappelli e Ferania,association football
Football League Centenary Touunamept,association football
1967 Torneio Robhrto Gomes Pedrosa,association football
Under-20 Four Nations Tournamet,association football
