col0,col1,col2
SMS Prinz Adalbert,Prinz Adalbert-class cruiser,Imperial German Navy
HMS Donegal,Monmouth-class armored cruiser,Royal Navy
O'Higgins,,Chilean Navy
HMS Drake,Drake-class armored cruiser,Royal Navy
Dupleix,Dupleix-class cruiser,French Navy
HMS Euryalus,Cressy-class armored cruiser,Royal Navy
HMS Shannon,Minotaur-class armored cruiser,Royal Navy
HMS Shannon,,Royal Navy
HMS Northampton,Nelson-class armored cruiser,Royal Navy
HMS Suffolk,Monmouth-class armored cruiser,Royal Navy
USS South Dakota,Pennsylvania-class cruiser,United States Navy
HMS Hogue,Cressy-class armored cruiser,Royal Navy
