col0,col1
Northside Hospital heliport,1050
Grady Memorial Hospital heliport,1227
Bridge Building,939
Virgil,300
Morrison,142
Union Hospital heliport,926
Grady Memorial Hospital heliport,969
Good Samaritan Hospital heliport,825
Children's Hospital heliport,285
Norden Systems heliport,60
St. Francis Hospital heliport,184
Middlesex Hospital heliport,55
Medical Center heliport,148
Community Hospital heliport,400
Providence Hospital heliport,140
Emerus,2096
Circus Circus,2122
Action,2460
Unifi,990
Raleigh,207
Washington County Hospital heliport,19
Carowinds,640
Streets Ferry,7
Grace Hospital heliport,1178
