col0,col1
Basilica in Katowice Panewniki,Catholicism
Basilica of Our Lady of Sorrows in Limanowa,Catholicism
Pura Goa Lawah,Balinese Hinduism
St. Nicholas Chappel in Novosibirsk,Eastern Orthodoxy
Church of St. John the Theologian (Saransk),Eastern Orthodoxy
Kazansky Bogoroditsky Monastery,Eastern Orthodoxy
Mount St. Sepulchre Franciscan Monastery,Catholicism
Church of St Helen,Anglicanism
Rostov Kremlin. Bell Tower,Eastern Orthodoxy
Wooden church of Saint George in Kolomenskoye,Eastern Orthodoxy
Synagogue in Yekaterinburg,Judaism
Franciscan Monastery in Panewniki,Catholicism
Kalwaria Panewnicka,Catholicism
Orthodox church in Telšiai,Eastern Orthodoxy
Alexander Nevsky Lavra,Eastern Orthodoxy
Cathedral of the Archangel,Eastern Orthodoxy
Saint Sophia Cathedral,Eastern Orthodoxy
Fatih Istanbul Mosque,Eastern Orthodoxy
Basilica of Our Lady of the Pillar,Latin Church
Wat Phra Kaeo,Theravāda
Uppsala Cathedral,Lutheranism
"Franciscan friary and church of St John the Baptist, Kraljeva Sutjeska",Catholicism
Varnhem Abbey,Catholicism
Vreta Abbey,Catholicism
