col0,col1
WWE Great Balls of Fire,16579
Money in the Bank (2017),15392
SummerSlam (2017),16219
Backlash (2017),9800
Extreme Rules (2017),11179
NXT TakeOver: Orlando,14975
Payback (2017),13684
Fastlane (2017),15785
Elimination Chamber (2017),14367
WrestleMania 34,78133
WWE United Kingdom Championship Tournament,3236
NXT TakeOver: San Antonio,9465
Royal Rumble (2017),52020
WrestleMania 33,75246
Lockdown,1100
Starrcade,6596
Lockdown,5500
SummerSlam (2018),16169
UFC Fight Night: Shogun vs. Smith,7798
Extreme Rules (2018),14739
NXT TakeOver: Chicago II,11000
Money in the Bank (2018),15214
Backlash,14724
NXT TakeOver: New Orleans,13955
Fastlane (2018),15119
