col0,col1,col2
Avtovo,Evgeny Levinson,regional cultural heritage site in Russia
Okeanskaya,,regional cultural heritage site in Russia
Church of Our Lady of Kazan,,federal cultural heritage site in Russia
Lanskaya,Bruno Granholm,regional cultural heritage site in Russia
Narikala,,Cultural heritage in Georgia
Old Sarepta,,federal cultural heritage site in Russia
Regimental Office House,Andrey Kvasov,
Blagoveshchensk,,federal cultural heritage site in Russia
Church of the Nativity of Christ,,regional cultural heritage site in Russia
Church of the Nativity of Christ,,regional cultural heritage site in Russia
Svyato-Dukhov Monastery,,cultural heritage site in Russia
Church of St. Nicholas,Ivan Vasil'evič Egotov,federal cultural heritage site in Russia
Fortuna,,cultural heritage site in Russia
Sokolniki,Ivan Taranov,tentative cultural heritage site in Russia
Uzkoye,,federal cultural heritage site in Russia
Church of the Exaltation of the Holy Cross,,regional cultural heritage site in Russia
VDNKh,Ivan Taranov,tentative cultural heritage site in Russia
Komsomolskaya,Viktor Dmitrievitsj Kokorin,regional cultural heritage site in Russia
Komsomolskaya,Aleksey Rukhlyadev,tentative cultural heritage site in Russia
