col0,col1,col2
Flămânzi,109.85,10561
Baia de Arieș,79.67,3035
Lipova,135,10040
Murfatlar,69.25,9173
Tășnad,96.6,8058
Roznov,,8133
Plopeni,4.73,6709
Nucet,41.11,1987
Bechet,25.31,4355
Cernavodă,46.69,15088
Bumbești-Jiu,210,7684
Ocna Sibiului,87.47,3434
Sângeorz-Băi,146.21,10931
Horezu,117,6467
Dolhasca,110.35,11007
Anina,145.53,5521
Întorsura Buzăului,60.97,8332
Sebiș,65.94,5410
Zărnești,204.75,21624
Ocna Mureș,68.34,12480
Ianca,186.14,8969
Băile Tușnad,1.89,1372
Hârșova,,8737
Darabani,3.4,11948
