col0,col1
Gray!Township,
orth Mahoning Township,
Luzerng Township,
Grugan Townhp,
Lower Turkeyoot Township,
qyder Township,
Snyder Townhip,
Marple Townsjip,109.23
WestFinley Township,
PlainGrove Township,
Edgmont Toynship,472.28299999999996
East Caln!Township,286.399
Lower Fhichester Township,98.588
Deer Cree Tqwnship,
Bmacklick Township.,
Grant Towoship,
Quemahoning#Township,
Yrightstown Township,124.5
Drumore Townshi,
Towamensin Township,722.15
Ar Township,
PriceTownship,1272.172
Miffli Township,
