col0,col1
Northeim (Han) station,Hannover Hbf–Kassel Hbf railway
Nordstemmen station,Hannover Hbf–Kassel Hbf railway
Lutherstadt Wittenberg Hauptbahnhof,Anhalt Railway
Ostkreuz,Berlin–Wrocław railway
Ludwigshafen Central Station,Mannheim–Saarbrücken railway
Niederwalgern station,Main–Weser Railway
Gießen station,Main–Weser Railway
Appenweier station,Rench Valley Railway
Frankfurt (Main) Stadion,Köln–Frankfurt high-speed rail line
Arth-Goldau railway station,Gotthard railway
Stolberg Central Station,Mönchengladbach–Stolberg railway
Motherwell railway station,West Coast Main Line
"Victoria train station, Buenos Aires",Retiro-Tigre line
Haedo train station,Once-Santa Rosa-Toay branch
Empalme Lobos train station,Empalme Lobos-Navarro branch
Floral Park,Hempstead Branch
Hinaga Station,Utsube Line
Howth Junction & Donaghmede railway station,Belfast–Dublin line
Moyasta Junction railway station,West Clare Railway
Gare de Saint-Valery-Ville,Chemin de Fer de la Baie de Somme
Böblingen Zimmerschlag,Schönbuch Railway
