col0,col1
Gradnje,Municipality of Sežana
Sodji Vrh,Municipality of Semič
Bač,Municipality of Ilirska Bistrica
Češenik,Municipality of Domžale
Šentjanž pri Dravogradu,Municipality of Dravograd
Križe,Municipality of Tržič
Šmihel pod Nanosom,Municipality of Postojna
Mavčiče,City Municipality of Kranj
Sts. Peter and Paul Parish Church,Municipality of Osilnica
Sts. Simon and Jude Parish Church (Voglje),Municipality of Šenčur
Church of Saint James the Greater,Municipality of Brežice
Črni Vrh,Municipality of Idrija
