col0,col1
Her Royal Highness Princess Frederick William of Prussia,
The Great Executioner,44.2
"The Abbey of Valle Crucis, Llan Egwiste, or Llanegwast, Denbeighshire",151
Still Life and Street,
Pass of Llanberis,145
Pass of Llanberis,96
Pass of Llanberis,112
Pass of Llanberis,146
Christus voor Pilatus,
Revd. J. Newland,
Pablo de Santa María,235
Fridolin and Gragapança of Yperdamme,
'The Nonconformist',
"Penmaen Mawr, Caernarvonshire",142
De Heilige Franciscus van Assisi ontvangt het Christuskind uit handen van Maria,
Portrait of a Man,
My friend John Sheringham,
Mrs. Mattocks as Nyfa in Midas,
