col0,col1,col2,col3
Mozambique,Mozambique Channel,,Africa
Papua New Guinea,Pacific Ocean,,Insular Oceania
Cape Verde,Pedra de Lume salt ponds,Atlantic Ocean,Africa
Czech Republic,Elbe,Olza,Europe
Turkmenistan,Turan Depression,,Asia
Sri Lanka,Indian Ocean,Indian Ocean,Asia
Greece,Calypso Deep,Mediterranean Sea,Europe
Italy,Contane,Ligurian Sea,Europe
Burkina Faso,Black Volta,,Africa
Uzbekistan,Sarygamysh Lake,,Asia
San Marino,Ausa River,,Europe
Costa Rica,Caribbean Sea,Caribbean Sea,North America
United Arab Emirates,Persian Gulf,Gulf of Oman,Asia
Azerbaijan,Caspian Sea,,Asia
Vanuatu,Pacific Ocean,,Insular Oceania
Myanmar,Indian Ocean,,Asia
Bhutan,Drangme Chhu,,Asia
