col0,col1,col2
Loch Leven,61708820,5
Ketelmeer,84000000,13
Obertrumer See,84630000,4.9
Lake Roxburgh,107000000,28.5
Mattsee,61400000,4.5
Lake Bonney,64800000,7
Plansee,123700000,5
Altausseer See,72700000,2.6
Staffelsee,74880000,4.6
Skagern,3321620000,21
Lake Moeris,978600000,50
Puula,3059000000,50
Bolmen,1069990000,35
Pielinen,8999000000,100
Heaven Lake,2091660000,4.85
Siljan,8089000000,52
Lough Neagh,3600000000,30
Mueller Lake,20000000,2.6
Lenore Lake,24100000,13
Loch Oich,24166227,6.5
Laguna Colorada,21000000,10.7
Titisee,22500000,1.87
Lake Hoare,17500000,4.2
