col0,col1,col2,col3
Captain Bluebear,The 13½ Lives of Captain Bluebear,male,
Judge Holmsby,The Misadventures of Merlin Jones,male,
Ash,Alien,male,
Michael Leary,Third Person,male,
Goofy,Disney Dreamlight Valley,male,
Hook-Handed Man,A Series of Unfortunate Events,male,
Chris Redfield,Resident Evil 2,male,
Larry Talbot,The Wolfman,male,
Dumbo,Dumbo,male organism,
Buffalo Bill,Hannibal Lecter,male,ballistic trauma
Penny (Inspector Gadget),Inspector Gadget 2,female,
Julia,Nineteen Eighty-Four,female,
Quicksilver,Dark Phoenix,male,
King Brian,Darby O'Gill and the Little People,male,
Defense Secretary,The Absent-Minded Professor,male,
Billy Lenz,Black Christmas,male,
Clear Rivers,Final Destination,female,
Vaneé,Rogue One: A Star Wars Story,male,
Sakura Ogawa,Battle Royale,female,
Seth,Race to Witch Mountain,male,
Mason Dixon,Rocky Balboa,male,
Mas Amedda,Star Wars: Episode I – The Phantom Menace,male,
Nurse Billy,Doctor Strange,male,
