col0,col1
[VSR2011] UDS10,1.6203
[VSR2011] UDS12,1.621
[VSR2011] UDS21,1.6501
[VSR2011] UDS15,1.0241
[VSR2011] UDS17,1.7315
[VSR2011] UDS13,1.6708
[VSR2011] GSD3,1.6476
[VSR2011] GSD6,1.7533
[VSR2011] UDS1,1.766
[VSR2011] GSD12,1.5065
[VSR2011] GSD10,1.7209
[VSR2011] GSD1,1.6907
[VSR2011] GSD26,1.6291
2MASX J15451546+2942144,0.03111
2MASX J13092167+2944000,0.07893
[SMR2006] VLA J021816-04551,0.264
[SMR2006] VLA J021821-05356,0.2765
PB 9133,0.0325
Mrk 1470,0.06567
2XMM J125825.4+344902,0.03368
HS 0932+3616,0.02646
2MASS J10235916+2421066,0.2092
