col0,col1
Multicultural Perspectives,
Emerging Trends in Education,6
Metalurgija,
Agricultural and Food Science,
Journal of the American Geriatrics Society,
Phytochemistry,
Journal of Statistics Education,
Resuscitation,
Review of Religious Research,3
Administrative Law and Process,1
South East Asian Journal of Management,
The Foot,
Religious Studies Review,3
The Annual of Urdu Studies,1
Istmo: Revista virtual de estudios literarios y,
Methodos,
Goettingen Journal of International Law,
T'oung Pao,
PeerJ,
