col0,col1
The Nature Conservancy,Silver Anvil Award
Aid to the Church in Need,DZI Seal-of-Approval
Red Cross Youth,Theodor Heuss Award
DOSAAF,Order of Lenin
International Water Management Institute,Stockholm Water Prize
Puah Institute,Katz Award
Imperial Theatre,BCS Prize
Apple,National Design Awards
BBC,Peabody Awards
UNESCO,Peabody Awards
Nintendo,British Academy Video Games Awards
United Nations,Nobel Peace Prize
Agora,Rafto Prize
International Council of Museums,Ordem do Mérito Cultural
National Institutes of Health,Gran Cruz de la Orden Civil de Sanidad
SWIFT,BigBrotherAwards
Terre des hommes,Balzan Prize
American Medical Association,Silver Anvil Award
