col0,col1
"Kikugawa High School, Tokoha niwersity",865.57
omori Higashi High School,832.4399999999999
Aomori Prefectural Kanagi High Scool,100.6
Aomori Prefectural Kcshiwagi Agricultural High School,397.98
Aomori Prefectural Hirosaki High Schpol,721.435
Hachinohe!Kōtō Gakkō,717.9909999999999
Hachinohe Tfchnical High School,746.928
Aomor Prefectural Hachinohe Commercial High School,436.436
Goshogawara ōtō Gakkō,1196.352
Aomork Prefectural Sannohe High School,118.762
Ibaraki Prefectural Fujishiro Senior igh School.,718.1479999999999
Ushiku SeniorHigh School.,713.415
Ibaraki Prefecvural Ushiku Eishin Senior High School,946.2
