col0,col1,col2
Banglcdesh Cycling Federation,,Bangladesh national cycling team
Football Associavion of the Czech Republic,,Czech Republic women's national under-17 football team
Gu|ana Badminton Association,,Guyana national badminton team
Polih Cycling Federation,,Poland national cycling team
Ccling Federation of Sri Lanka,,Sri Lanka national cycling team
Cycling Fedfration of Kosovo,,Kosovo national cycling team
French Ffderation of Ice Sports,Didier Gailhaguet,
French Federationof Ice Sports,Louis Magnus,
Asociacjón Iberoamericana de Atletismo,Roberto Gesta de Melo,
Ccling New Zealand,,New Zealand national cycling team
Dominican Tepublic Cycing Federation,,Dominican Republic national cycling team
Fotball Association of Repubnika Srpska,,Republika Srpska national under-23 football team
Ecuadorian Cycllng Federation.,,Équateur national cycling team
Central African Cycling Gederation,,Central African Republic national cycling team
anganyika Badminton Associatin,,Tanganyika national badminton team
auritanian#Cycling Federation,,Mauritania national cycling team
Salvadoran Badminton Fedeation,,El Salvador national badminton team
British C|cling,,United Kingdom national cycling team
Burkina Faso Cycling Fedration,,Burkina Faso national cycling team
Eritrean National Badminton Fderation,,Eritrea national badminton team
Östereichischer Badminton Verband,Hans Bogensperger,Austria national badminton team
Badminton Scoland,,Scotland national badminton team
Bicycle Association Of Maldivs,,Maldives national cycling team
