col0,col1
Flurkreuz,
Flurkreuz,
Flurkreuz,
Flurkreuz,
Flurkreuz,
Flurkreuz,
Flurkreuz,
Flurkreuz,
Flurkreuz,
Flurkreuz,
Flurkreuz,
Flurkreuz,
"Betkreuz Panschwitz-Kuckau, Bischofswerdaer Straße 1",
Wayside cross in St Enoder churchyard,
Column shrine in Olešná,
"Hawsker Cross wayside cross, 100m east of Hawsker Hall Farm",
Cross Lacon in garden to south of Dower House,
Wayside cross called Job Cross at Middle Heads on Danby Low Moor,
"Croix Joubin, Malestroit",
croix de Labathe,
La Creu Trencada,341
Cruzeiro do Campo das Hortas,
Creu de terme del Lloret,
