col0,col1,col2
oruSudan,Red Sea,
Kelsingborg.,Helsingborg Municipality,Brockhaus and Efron Encyclopedic Dictionary
Mauto,Mozambique,Brockhaus and Efron Encyclopedic Dictionary
Vlsakhapatnam,Visakhapatnam (urban) mandal,New International Encyclopedia
Shaghai,Shanghai International Settlements,Desktop Encyclopedic Dictionary
Santa Ctuz de Tenerife,Captaincy General of the Canary Islands,
Nwana,Mwanza Region,New Encyclopedic Dictionary
Wittmud,Wittmund,Topographia Westphaliae
Buhanan,Grand Bassa County,
Tallnn,Estonia,Small Brockhaus and Efron Encyclopedic Dictionary
Berera,Sahil,Internetowa encyklopedia PWN
Ngoya,Owari Domain,New Encyclopedic Dictionary
Toba,Toba Domain,
ibrhville,Gabon,Great Soviet Encyclopedia (1926–1947)
LaGoulette,,Great Soviet Encyclopedia (1926–1947)
Koka,Kotka-Hamina sub-region,Finlandssvenska bebyggelsenamn
imassol,,Great Soviet Encyclopedia (1926–1947)
Oulu,Oulu Province,Finlandssvenska bebyggelsenamn
Kisara{w,Jōzai Domain,
Reni,Reni Urban Hromada,Brockhaus and Efron Encyclopedic Dictionary
