col0,col1,col2
Croix d'Avray,1950-01-01,
Creu de terme de Palà de Coma,1900-01-01,
Wayside cross in Brandýs nad Orlicí,,Žerotínova
Creu de terme de Can Teixidor,1400-01-01,
Croix de chemin Saint-Siméon,,rue du Général de Gaulle
Croix de Grand-Loëze,,Route de Saint-Cyr
Wayside cross near chapel of Sacred Heart,1976-01-01,
"Wayside cross in Příbor, Jičínská",,Jičínská
"Wayside cross in Příbor, Štramberská II",,Štramberská
Wegkreuz Sonnenhof,1886-01-01,
Calvary cross in Štíty,,Náměstí Míru
crucifix in Kněžnice,1801-01-01,
Kříž u Velelib,1890-01-01,
"Wayside cross in Příbor, Štramberská IV.",,Štramberská
wayside cross at Horní Moučka,1833-01-01,
Wayside cross in Vilémovice,1870-01-01,
"Moordkruis, Reijmerstok",1896-01-01,
