col0,col1,col2
Soulex,,1986-01-01
Deutsche Weltwirtschaftliche Gesellschaft,,1914-01-01
Nippon Bonsai Association,,1965-02-11
Genocide Prevention Group,,2006-01-01
Sauve qui peut le court métrage,Clermont-Ferrand,1981-08-04
Ohio mycological club,Ohio,1903-01-01
"Association des conservateurs d'archives, de bibliothèques et de musées de Belgique",,1922-01-01
Deutscher Lehrerverein,,1871-01-01
OK Lab Berlin,Berlin,
London Natural History Society,,1913-01-01
Women's National Indian Association,,1879-01-01
Mei Inoar Ien,Smallingerland,1894-01-01
Schrippenkirche,,1882-10-08
Bundesverband Rettungsdienst,,2008-01-01
Pro Castellis,,1968-01-01
Modellsportverein Hof e.V.,,1967-02-24
Vernatun,Tbilisi,1899-01-01
Leeuwarder Roeivereniging Wetterwille,Leeuwarden,1919-01-01
Swiss Heritage Society,,1905-07-01
