col0,col1,col2,col3
NGC 3977,13.6,5806,84.77
NGC 2569,14.3,5074,73.2
NGC 4084,14.5,6768,97.63
NGC 4419,11.16,-218,13.49
NGC 3577,13.8,5341,
IC 2973,15.217,3200,34.51
IC 1099,10.712,8860,
NGC 3270,13,6256,82.41
NGC 4737,14.3,6895,99.36
NGC 4834,14.8,11255,
NGC 4005,13,4419,67.14
NGC 5935,14.8,5346,79.36
IC 4517,14.954,5331,106.17
NGC 4293,10.3,895.6,16.5
IC 569,11.311,10231,
IC 2476,15.469,7886,
NGC 1149,14.2,8736,85.11
NGC 2638,12.8,3898,
IC 2759,16.491,8087,
NGC 4156,14.32,6708,98.47
PGC 33083,11.294,12580,185.2
NGC 2557,13.4,4868,69.76
IC 1186,18.3076,10434,197.7
