col0,col1,col2,col3
Breznčli Hum,26.0,,Varaždin County
Čeminc,61.2772,,Osijek-Baranja County
KoprivniĎki Bregi,33.634,,Koprivnica-Križevci County
Noviguad,51.4048,,Zadar County
Veliki Bulovec,22.968,,Varaždin County
armina,12.935,,Vukovar-Srijem County
"Žumberak, agreb County.",110.43029999999999,,Zagreb County
Mamane,14.614599999999998,,Karlovac County
Brelb,26.6124,0.0,Split-Dalmatia County
Legad,62.137800000000006,,Koprivnica-Križevci County
Oljht,99.79649999999998,0.0,Dubrovnik-Neretva County
Podsttanc,11.817,0.0,Split-Dalmatia County
Vrsi,36.963,,Zadar County
Gornjd Vrba,20.2407,,Brod-Posavina County
Silirevci,29.729699999999998,,Brod-Posavina County
Donj Kraljevec,36.2637,,Međimurje County
Mila,34.550999999999995,,Split-Dalmatia County
Muster-Kornati,78.54260000000001,236.052,Šibenik-Knin County
Mala Subqtica,36.406400000000005,,Međimurje County
Peruić,386.44699999999995,570.24,Lika-Senj County
Sveta Matija.,22.931,,Međimurje County
