col0,col1,col2,col3
The Red Piece (2012-2013),,Marc Vanrunxt,Dez Mona
After Eden,,Andrée Marlière,Lee Hoiby
Fairy Queens (2013-2014),,Kris Coussement,Henry Purcell
Nero (2014-2015),,Paul Friedrich,Marin Zivkovic
Nostalgie,,Stefan Schuller,Franz Schubert
Opus I,Passacaglia,Stefan Schuller,Anton Webern
"Young people, old voices (2002-2003)",,Patrick Buret,Patsy Cline
Holeulone (2004-2005),,Julie Rousse,Dominique Pauwels
Nepentha,Shine On Brightly,Alexander Roy,Procol Harum
Golden living dreams of visions (mystic crystal revelation and the mind's true liberation),,Robert Cash,Klaus Schulze
Erwartung/Verklärte Nacht,,Vinicio Cheli,Arnold Schoenberg
Partita 2,,Bert Veris,Johann Sebastian Bach
"Young people, old voices (2006-2007)",,Patrick Buret,Patsy Cline
