col0,col1,col2
The Art of Happiness,Antonio Fresa,
Blinky Bill,Guy Gross,Yoram Gross
Ooops! Noah Is Gone...,Stephen McKeon,
Ice Age,David Newman,Catherine Winder
Appleseed,Tetsuya Takahashi,Naoko Watanabe
Ratatouille,Michael Giacchino,Brad Lewis
Renaissance,Nicholas Dodd,
Johan Padan a la descoverta de le Americhe,,Luciano Beretta
The Swallows of Kabul,,Reginald de Guillebon
An American Tail: Fievel Goes West,James Horner,Robert Watts
The Illusionist,Sylvain Chomet,
Pinocchio,Lucio Dalla,
Pinocchio,Leigh Harline,Walt Disney
Pinocchio,Vito Tommaso,Giuliano Cenci
Ice Age: Dawn of the Dinosaurs,John Powell,Lori Forte
