col0,col1
T3,2.6
Salmon Creek Railroad,0.15
Stradbally Woodland Railway,0.4
Waterford and Suir Valley Railway,10
Torfbahn Himmelmoor,4
Colebrookdale Railroad,8.6
West Coast Historical and Mechanical Society,1.5
Lea Bailey Light Railway,0.183
Jokioinen Museum Railway,14.2
T2,1.64
Giant's Causeway and Bushmills Railway,3.2
Foyle Valley Railway,4.8
Engelsberg-Norberg Railway,18
Cripple Creek and Victor Narrow Gauge Railroad,2
Chinnor and Princes Risborough Railway,8.825
Cavan and Leitrim Railway,78
Caledonian Railway (Brechin),3.975
Bure Valley Railway,14.5
Bredgar and Wormshill Light Railway,0.8
Bo'ness and Kinneil Railway,5
