col0,col1,col2
N-S 13,Fortification subsections 11.–12./V. Kunštát,
StM-S 19,Fortification subsection 4./I. Sušina,
Li-C-S 2 U pily,"Fortification subsection 1./VII. Polubný, Kořenov, Harrachov",
OP-S 4,Fortification subsection 7./IV. Štítina,
T-St-S 78 casemate,Stachelberg,
T-JH-S 8,Jírová Hora,
Li-G-S 5,Fortification subsection 2./VII. Mníšek,
Three Small Links,Three Links,
MD-S 1,Fortification subsections 9.–10./V. Deštné,
OP-S 69,Fortification subsections 5.-6./IV. Horní Benešov,
MJ-S 34 Rozcestí,Fortification subsection 3./XI. Mikulov,
Sterling area hydrogeological evaluation: Project proposal,,Sterling area hydrogeological evaluation: Project proposal
Li-G-S 1,Fortification subsection 2./VII. Mníšek,
Artificial Intelligence Act,,Proposal for a REGULATION OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL LAYING DOWN HARMONISED RULES ON ARTIFICIAL INTELLIGENCE (ARTIFICIAL INTELLIGENCE ACT) AND AMENDING CERTAIN UNION LEGISLATIVE ACTS
T-St-S 71 casemate,Stachelberg,
T-S 92,Fortification subsection 7./VI. Rýchory,
OP-Š-S 31 U cesty,Šibenice,
Li-G-S 8,Fortification subsection 2./VII. Mníšek,
N-S 38,Fortification subsections 9.–10./V. Deštné,
N-S 42,Fortification subsections 9.–10./V. Deštné,
OP-S 49,Fortification subsections 5.-6./IV. Horní Benešov,
StM-S 39 Sedlo,Fortification subsection 2./I. Kutný vrch,
T-S 23b,Fortification subsection 4./VI. Odolov,
MJ-S 3b Havraníky,Fortification subsection 1./XI. Šatov,
T-S 69 casemate,Fortification subsection 2./VI. Zlatá Olešnice,
