col0,col1
"Edinburgh, Victoria Street, 1 - 2 India Buildings",
Former headquarter of Institute of National Remembrance,
"Ministerie van Onderwijs, Nieuwe Uitleg, Den Haag",
Nauru House,190
"Edinburgh, 22-26 St Giles Street",
Sepehr Tower,120
Pianofabrik,
Landesvertretung Nordrhein-Westfalen Bonn,
Science and Technology Building,
Linklater Commons,
Grant Block,
Pennsylvania State Office Building,
Telecommunication Office Building,
Beit HaMaalot,
Danish National Bank,
Looshaus,
former Landschreiberei,
ABN AMRO Headquarters,
