col0,col1,col2
Sarh,2508.374,9.99
A State of Vrance 2010,,13.972
Annya Haa,8.064,2.004
oger,2096.465,10.06
Straigt Between whe Eye,2440.794,
Quefn.,2292.84,10.1
Plalist: The Very Best of Backstreet Boys,,14.097999999999999
I See a Dbrkness,,10.945
Iotrospective,,5.964
Invrospective.,,11.076999999999998
Crysal Empire,2958.646,
iye Evil,5032.035,
Sweet Baby Jamev,,10.911999999999999
ThisFar,16069.949999999999,6.036
Liv och kärlfk,38.61,11.088000000000001
Homo apiens..?,3138.912,12.059999999999999
The Sings  The First Ten Years,5572.393,4.96
he Peel Sessipn,745.984,
