col0,col1,col2
I-n-Atambay,Mali,
'Elb La'reïg,Mali,Timbuktu Region
Goueïba el Beïda,Mauritania,Assaba Region
Nebket en Nouss,Mali,
dune 7,Namibia,
Astondoko haremunak,Biscay,Gorliz
Muḩammad Khān Sarūnah,Afghanistan,Helmand
Nāziyat Daghash,Saudi Arabia,
‘Irq Jahām,Saudi Arabia,Riyadh Province
El Badia,Mauritania,Tagant Region
‘Aţā Muḩammad Band,Afghanistan,Helmand
Ţi‘s Dalīl,Saudi Arabia,Riyadh Province
Bossieduin,South Africa,Northern Cape
Aouarach,Mali,Timbuktu Region
Agoualîl,Mauritania,Hodh Ech Chargui Region
