col0,col1,col2
cerium-133m,cerium-133,cerium
cerium-135m,cerium-135,cerium
cerium-146,praseodymium-146,cerium
cerium-139,lanthanum-139,cerium
cerium-128,lanthanum-128,cerium
cerium-138,barium-138,cerium
cerium-126,lanthanum-126,cerium
cerium-155,praseodymium-155,cerium
cerium-127,lanthanum-127,cerium
cerium-147,praseodymium-147,cerium
cerium-142,neodymium-142,cerium
cerium-143,praseodymium-143,cerium
cerium-125,lanthanum-125,cerium
cerium-135,lanthanum-135,cerium
cerium-158,,cerium
cerium-132,lanthanum-132,cerium
cerium-119,lanthanum-119,cerium
cerium-137m,cerium-137,cerium
cerium-133,lanthanum-133,cerium
cerium-120,lanthanum-120,cerium
cerium-150,praseodymium-150,cerium
cerium-151,praseodymium-151,cerium
