col0,col1,col2
Dresden cargo ship,,22.2
VCS 420 Type container ship,,20.1
Master Mariners container ship,,23.16
WAG FT-16,2000,
Almirante Pereira da Silva-class frigate,1194,11.7
Vista (2002)-class cruise ship,,32.2
UASC A15-class container ship,,51
Dido-class light cruiser,,15.4
Braunschweig-class corvette,,13.28
Norasia-Fribourg-class container ship,,32.24
Marburg cargo ship,,16.4
Schwalbe-class cruiser,,9.36
NedLloyd Tasman-class container ship,,40
SD18 cargo ship,,22.86
Elbe-class replenishment ship,,15.4
Arklow R-class coaster,,14.18
Project 61 guided missile destroyer,,15.8
C-Box-class container ship,,23.6
Oktyabrskaya Revolyutsiya-class motorship,,14.98
Ivan Rogov-class landing ship,,23.8
