col0,col1,col2,col3
Codex Landianus,Antonio da Fermo,Italian,25
Codex Ursicinus,Ursicin,Latin,210
Arghun Shah's Qur'an,,Arabic,55.5
Lindisfarne Gospels,Eadfrith of Lindisfarne,Old English,275
Qur'an,Yaqut al-Musta'simi,Arabic,15.5
"Sultan Baybars’ Qur’an, Volume One (BL Add Ms 22406)",Abu Bakr Sandal,Arabic,32
Juz' 30 of the Quran signed by 'Abdullah al-Sayrafi,‛Abdallah Sayrafi,Arabic,187
Codex vaticanus latinus 3199,,Italian,245
Sultan Sha'ban Qur'an (National Library of Egypt Masahif Rasid 10),Ibrahim al-Amidi,Arabic,50.8
Muraqqa (calligraphic album) by Şekerzade Mehmed Efendi (SSM 120-0208),Şekerzâde Seyyid Mehmed,Arabic,202
Al-Kahf (the Cave) sura from the Qur’an (SSM 102-0210),Kâdı Mahmud Efendi,,19.5
codex palatinus 313,Pacino di Buonaguida,Italian,220
'Khamsa' of Amir Khusraw (CBL Per 163),,Persian,16.5
