col0,col1,col2
KIC 8517859,0.09,-16.4
SDSS J025235.71+001743.9,-1.13,-9.7
KOI-6535,-0.09,-26.8
TYC 3124-1120-1,0.01,6.2
TYC 3125-3570-1,-0.13,10.7
TYC 3121-719-1,0.02,-18.2
TYC 3121-1037-1,-0.02,-30.8
TYC 3120-1273-1,0.12,14.4
TYC 3149-863-1,-0.25,-19.1
HD 226431,-0.24,9.5
USNO-A2.0 1275-13325780,-0.05,5.5
KIC 8196381,0.11,-12.6
KIC 8129588,0.03,8.3
UCAC4 671-083017,-0.03,8
KOI-3869,-0.11,13.9
KIC 6127239,-0.06,-2.3
KIC 5881108,-0.12,-8.6
KIC 5617102,0.07,-17.3
TYC 3134-2021-1,0.14,-15.5
TYC 3135-315-1,-0.07,7.6
Cl* NGC 2682 SAND 1280,-0.077,30.73
TYC 3142-1206-1,-0.02,3.8
TYC 3142-1661-1,0.01,24.5
BD+40 3786,0.24,-62.78
BD+41 3376,-0.06,-13.2
