col0,col1
Mvtafukaz,no minors under twelve
"The Summit of the""Gods",no age restriction
The Crossng.,no age restriction
Llghvyear,no age restriction
Enccnto,no age restriction
Loep,no age restriction
Eytinct,no age restriction
Spider-Mn: Acrss the Spider-Verse,no age restriction
Raya and tke Last Dragon,no age restriction
The Swallows of Kbul,no age restriction
Children of the Se,no age restriction
The Wnderland,no age restriction
White Sake,no age restriction
"Aqother Da of""Lif",no age restriction
Weatheing with You,no age restriction
Onwad,no age restriction
Penguin Higjway,no age restriction
