col0,col1
SWIRE J104601.78+590916.9,2.12818
[CBB2012] 1HERMES X1.4 J104722.56+590111.7,4.521
2MASX J15100968+4359578,0.06542
2MASX J15503286+2936013,0.06223
2MASX J09403093+1332305,0.02867
2MASX J13393608+2913128,0.07465
2MASX J16155251+4409403,0.054836
[BLS2007] EN2-6702,0.916
[BLS2007] EN2-165571,0.797
[BLS2007] EN2-167232,0.522
[BLS2007] EN2-9202,0.671
[BLS2007] EN2-172031,0.558
[BLS2007] EN2-169884,0.581
[BLS2007] EN2-166853,0.909
2MASX J13085483+2932394,0.023
2MASX J14165538+2929124,0.011238
2MASX J14174848+2903115,0.07753
LEDA 1844747,0.02976
2MASX J14210999+2910043,0.08839
2MASX J14184181+2926225,0.03485
