col0,col1
Diptych with the Crucifixion and the Coronation of the Virgin,
Double portrait of Adriaen van de Broucke and his wife Catharina Vranx,
St John the Baptist and Veronica Diptych,Veil of Veronica
L'intérieur,
Diptych of Munich,Christ Child
Two-fold Screen,
The Annunciation. A Diptych,
The Hell and the Flood,Genesis flood narrative
Lachovsky–Bardi Diptych,
Diptych with Scenes from Christ's Passion,crucifixion
Diptych with Scenes from Christ's Passion,Last Supper
Diptych with Scenes from Christ's Passion,Judas Iscariot
Le moulin de Gatimel,windmill
Apocalyptic Riders,equestrianism
Rehlinger Diptych,
Sans titre (Diptyque),
Christ as the Man of Sorrows,
Annunciation,woman
Our Lady of the Seven Sorrows (grisaille),Our Lady of Sorrows
Wilton Diptych,Christ Child
Elegant Plum Tree Garden,
Elegant Plum Tree Garden,
