col0,col1,col2,col3
Newton Coxnty,0.6,12217.0,2430.567
Wheeler ouoty,0.10049999999999999,5004.969999999999,2347.29
Jbckson County,3.1712000000000002,15047.952,2238.9709999999995
anla County,2.424,22446.018,2148.27
ent County,0.0497,760.53,2343.678
Armstuong County.,0.5005,1857.2399999999998,2357.532
Dallas#County.,3.996,2639674.39,2348.294
nderson ounty,1.3874,57748.234,2772.456
Victoria Cpunty,0.7968000000000001,92049.552,2322.718
Hle County,0.01009,32261.824,2583.786
Motgomery County,3.2868,618581.671,2797.3669999999997
orris Cqunty,2.5948,11865.243,673.3499999999999
Deltd County,7.6152,5256.15,719.28
Stephes County,2.6946000000000003,9073.697,2401.322
Wood Count,7.351099999999999,44708.471,1812.0149999999999
Moore Conty.,1.1066,21272.568,2348.932
Clay Cpunty,2.485,10218.0,2893.8909999999996
rdyson County,4.6859,134865.285,2510.64
Tylor County,0.4012,142778.376,2378.619
Hidamgo County,0.7952,865556.314,4139.99
Williamson Couqty,1.4056,614498.1529999999,2942.9399999999996
Mnox County,0.5982,3386.53,2202.704
