col0,col1,col2,col3
Merced County,5107,281202,2.19
Tulare County,12533,473117,0.3
San Benito County,3206,64209,0.17
Amador County,1566,40474,1.98
Inyo County,26488,19016,0.24
Stanislaus County,3923,552878,1.31
Riverside County,18915,2418185,1.33
Lassen County,12226,32730,3.46
Modoc County,10887,8700,6.17
Contra Costa County,2078,1165927,10.93
Mariposa County,3789,17131,0.82
Colusa County,2995,21839,0.48
San Bernardino County,52073,2181654,0.24
Trinity County,8307,16112,0.9
El Dorado County,4631,191185,4.31
