col0,col1
Takinh Yourseoves Seriously.,16815.799
Chromatic homotopy theory o spaces,1489500.0
Chromatic homotqpy theory of spaces,
CIMA,
uau,
ACCOR.,
Out Of Boundu,76915.72
Quantum Deectors,100200.0
The Silencs of Sciece,23444.19
OenUP,
Avatat,
Addressing Valuation qf Energy and Nature Together (ADVENT),274191.132
mart fluidif circuits for autonomous soft robots,
Valulng nature,24274.354
BRIT,
obr,
The Galileo Qroject,
The Baudelairf Song Project,372975.554
Staing China,36415.818999999996
SLILE,
