col0,col1,col2,col3
Pax,63.5,Stichting Museum Bommel Van Dam,
The Triumphal Chariot of Maximilian I (The Great Triumphal Car) [plate 5 of 8],45.4,Prints in the National Gallery of Art,The Triumphal Chariot of Maximilian I (The Great Triumphal Car) [plate 5 of 8]
Christ shown to the people,124,British Museum,Ecce Homo
Combing His Hair,28.3,Asian Art,
Selbstporträt,19.7,Staatliche Kunstsammlungen Dresden,
View of Venice [upper left block],,Prints in the National Gallery of Art,View of Venice [upper left block]
Shitennō-ji garan,24.5,Museum of Fine Arts Boston,The Precincts of Shitennô-ji Temple
Madonna in Glory with Six Saints,,Yale Center for British Art,Madonna in Glory with Six Saints
Shinmachi kakutyū kuken yozakura,24.5,Osaka Municipal Library,Cherry Blossoms in the Evening at Kuken in the Shinmachi Licensed Quarter
Christ Taken Captive,,Prints in the National Gallery of Art,Christ Taken Captive
The Virgin Nursing the Christ Child with Four Angels,,National Gallery of Art,The Virgin Nursing the Christ Child  with Four Angels
St. Bridget divides her works among nuns and monks (leaf 1),,British Museum,St. Bridget divides her works among nuns and monks
The Duke,,Prints in the National Gallery of Art,The Duke
The Triumphal Chariot of Maximilian I (The Great Triumphal Car) [plate 2 of 8],45.4,Prints in the National Gallery of Art,The Triumphal Chariot of Maximilian I (The Great Triumphal Car) [plate 2 of 8]
"Segawa Kikunojo III as Oshizu, Wife of Tanabe Bunzo",37.8,Brooklyn Museum,
Amijma fūkei,24.5,Museum of Fine Arts Boston,View of Amijima
First Leaf of the Shunga; The Delightful Love Adventures of Maneyemon,20.3,Asian Art,
