col0,col1
2009 Indian general election in Mayurbhanj Lok Sabha constituency,825887
1963 Argentine legislative election,
2005 Vienna District Representative election,
1957 Singapore City Council election,
2009 Indian general election in Sundargarh Lok Sabha constituency,767801
2014 Indian general election in Hindupur Lok Sabha constituency,1177257
1999 Indian general election in Berhampore Lok Sabha constituency,937646
1968 Valdostan regional election,
2004 Indian general election in Barpeta Lok Sabha constituency,762700
2014 Indian general election in Kota Lok Sabha constituency,1154960
1994 United States House of Representatives elections in Maryland,
1999 Indian general election in Raichur Lok Sabha constituency,722982
1946 Mexican general election,
2004 Carinthian state election,
