col0,col1,col2,col3
Black October,terrorism,2000-01-01,
Wish Upon a Star,body swap,1996-01-01,
Escape to Witch Mountain,flying saucer,1995-01-01,
Tru Confessions,filmmaking,2002-04-05,Rudolf Blaháček
Flesh and Blood,,1979-01-01,Vilmos Zsigmond
The Challenge,Cold War,1970-01-01,
Doctor Who,Y2K,1996-05-27,Glen MacPherson
You Don't Know Jack,euthanasia,2012-03-30,Eigil Bryld
The Temptation,,1981-01-01,Sławomir Idziak
Spartacus,,2004-01-01,Kees Van Oostrum
The Glass Menagerie,,1973-12-16,Billy Williams
The Innocent,autism,1994-09-25,
The Pirate,terrorism,1978-01-01,
