col0,col1
Schleissheim Parish Church,Catholicism
"Pfarrkirche hl. Martin, Pichl bei Wels",Catholicism
Parish church of Weißkirchen an der Traun,Catholicism
Thalheim parish church near Wels,Catholicism
Krenglbach Parish Church,Catholicism
Gunskirchen Parish Church,Catholicism
Parish Church of Pennewang,Catholicism
Parish church in Neukirchen near Lambach,Catholicism
Geboltskirchen Parish Church,Catholicism
Bachmanning Parish Church,Catholicism
Lutheran cemetery in Guty,Silesian Evangelical Church of the Augsburg Confession
Lutheran cemetery in Lyžbice,Silesian Evangelical Church of the Augsburg Confession
Protestant cemetery in Lískovec,Evangelical Church of Czech Brethren
Church of St Helen,Anglicanism
Lutheran cemetery in Dolní Žukov,Silesian Evangelical Church of the Augsburg Confession
Cemetery in Hradiště,Silesian Evangelical Church of the Augsburg Confession
Cemetery in Poděbrady,Evangelical Church of Czech Brethren
Cimitirul Evreiesc,Judaism
Military Cemetery of Cebeci,Islam
Lutheran cemetery in Česká Ves,"German Evangelical Church in Bohemia, Moravia and Silesia"
Jorinji temple,Nichiren Shū
