col0,col1
Minister of Finance,Cabinet of Ecuador
Minister of Public Works,Ministerial Council of Greece
Minister of Foreign Affairs,Cabinet of the Maldives
Minister of Foreign Affairs,Cabinet of Antigua and Barbuda
Minister of Foreign Affairs,Cabinet of Tonga
Minister for Education,Cabinet of Ghana
Attorney General of Indonesia,Cabinet of Indonesia
Minister for Home Affairs,Cabinet of Singapore
Minister of Information,Council of Ministers
Minister of Education,Finnish Government
Minister for the Environment,Cabinet of Australia
Minister for Sport,Cabinet of Australia
Minister for Education,Cabinet of Australia
Minister of Agriculture and Food,Government of Norway
