data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
2MASS J00320726-7320588,2MASS J00320726-7320588,Q81213450,0,0,1,possible red giant branch star in the constellation Tucana,,Q72802727,,
SSTISAGEMA J005931.67-722306.1,SSTISAGEMA J005931.67-722306.1,Q78166673,1,0,1,possible red giant branch star in the constellation Tucana,,Q72802727|Q523,,
SSTISAGEMA J005931.67-722306.1,SSTISAGEMA J010944.47-713121.8,Q75232462,1,0,2,,,Q72802727|Q523,,
SSTISAGEMA J005931.67-722306.1,SSTISAGEMA J010709.91-710944.2,Q75229663,1,0,2,Star,,Q523|Q72802727,,
SSTISAGEMA J005931.67-722306.1,SSTISAGEMA J004630.78-742808.9,Q81353542,1,0,2,possible red giant branch star in the constellation Hydrus,,Q72802727|Q523,,
SSTISAGEMA J005931.67-722306.1,SSTISAGEMA J002610.88-730333.7,Q84195276,1,0,2,possible red giant branch star in the constellation Tucana,,Q72802727|Q523,,
SSTISAGEMA J005931.67-722306.1,SSTISAGEMA J010201.76-705020.6,Q78163489,1,0,2,star in the constellation Tucana,,Q523|Q72802727,,
SSTISAGEMA J005931.67-722306.1,SSTISAGEMA J011029.48-735044.8,Q75235673,1,0,2,,,Q523|Q72802727,,
SSTISAGEMA J005931.67-722306.1,SSTISAGEMA J011340.46-721321.4,Q74706459,1,0,2,,,Q72802727|Q523,,
SSTISAGEMA J005931.67-722306.1,SSTISAGEMA J011353.60-711205.9,Q74707969,1,0,2,,,Q72802727|Q523,,
SSTISAGEMA J005931.67-722306.1,SSTISAGEMA J003445.04-721337.7,Q81224404,1,0,2,star in the constellation Tucana,,Q523|Q72802727,,
SSTISAGEMA J005931.67-722306.1,SSTISAGEMA J002516.88-740516.8,Q84196099,1,0,2,possible red giant branch star in the constellation Tucana,,Q72802727|Q523,,
SSTISAGEMA J005343.30-715026.5,SSTISAGEMA J005343.30-715026.5,Q74721450,2,0,1,,,Q72802727|Q523,,
SSTISAGEMA J005343.30-715026.5,SSTISAGEMA J010944.47-713121.8,Q75232462,2,0,2,,,Q72802727|Q523,,
SSTISAGEMA J005343.30-715026.5,SSTISAGEMA J010709.91-710944.2,Q75229663,2,0,2,Star,,Q523|Q72802727,,
SSTISAGEMA J005343.30-715026.5,SSTISAGEMA J004630.78-742808.9,Q81353542,2,0,2,possible red giant branch star in the constellation Hydrus,,Q72802727|Q523,,
SSTISAGEMA J005343.30-715026.5,SSTISAGEMA J002610.88-730333.7,Q84195276,2,0,2,possible red giant branch star in the constellation Tucana,,Q72802727|Q523,,
SSTISAGEMA J005343.30-715026.5,SSTISAGEMA J010201.76-705020.6,Q78163489,2,0,2,star in the constellation Tucana,,Q523|Q72802727,,
SSTISAGEMA J005343.30-715026.5,SSTISAGEMA J011029.48-735044.8,Q75235673,2,0,2,,,Q523|Q72802727,,
SSTISAGEMA J005343.30-715026.5,SSTISAGEMA J011340.46-721321.4,Q74706459,2,0,2,,,Q72802727|Q523,,
SSTISAGEMA J005343.30-715026.5,SSTISAGEMA J011353.60-711205.9,Q74707969,2,0,2,,,Q72802727|Q523,,
SSTISAGEMA J005343.30-715026.5,SSTISAGEMA J003445.04-721337.7,Q81224404,2,0,2,star in the constellation Tucana,,Q523|Q72802727,,
SSTISAGEMA J005343.30-715026.5,SSTISAGEMA J002516.88-740516.8,Q84196099,2,0,2,possible red giant branch star in the constellation Tucana,,Q72802727|Q523,,
