col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Staffelberg,200.0,150.0,[0]
Mont Veyrier,3.0,6.0,[0]
Montes Agricola,,160.0,[0]
Manam,10.3,10.5,[0]
Korab,,40.0,[0]
Buckle Island,7.5,24.0,[0]
Marjan,1.5,3.5,[0]
Vitosha,17.0,19.0,[0]
Murgash,17.0,25.0,[0]
Balya,2.0,7.0,[0]
Montserrat,5.0,10.0,[0]
Mount Azuma,15.0,25.0,[0]
Vojnik,8.0,17.0,[0]
Gaztelugatxe,80.0,0.27,[0]
Guishan Island,1.6,3.1,[0]
Mount Song,,64.0,[0]
Kleiner Osser,20.0,100.0,[0]
Kao,3.2,5.2,[0]
Chilbosan,30.0,75.0,[0]
Mons Vinogradov,,28.7,[0]
